gbifID	datasetKey	occurrenceID	kingdom	phylum	class	order	family	genus	species	infraspecificEpithet	taxonRank	scientificName	verbatimScientificName	verbatimScientificNameAuthorship	countryCode	locality	stateProvince	occurrenceStatus	individualCount	publishingOrgKey	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	elevation	elevationAccuracy	depth	depthAccuracy	eventDate	day	month	year	taxonKey	speciesKey	basisOfRecord	institutionCode	collectionCode	catalogNumber	recordNumber	identifiedBy	dateIdentified	license	rightsHolder	recordedBy	typeStatus	establishmentMeans	lastInterpreted	mediaType	issue
5076245043	81981d98-e27f-4155-9a94-9eae9bbad2be	CSCF-VES-798537	Animalia	Arthropoda	Insecta	Hymenoptera	Vespidae	Vespa	Vespa velutina		SPECIES	Vespa velutina Lepeletier, 1836	Vespa velutina Lepeletier, 1836	Lepeletier, 1836	CH		Ge	PRESENT		64ee55c9-570a-42af-b7da-3f13c6b4e5a9	46.20113	6.11068	3535.0		418.0				2023-07-27	27	7	2023	1311477	1311477	HUMAN_OBSERVATION			CSCF-VES-798537		Cherix Daniel		CC_BY_4_0	https://www.infofauna.ch	Anonymous			2025-12-24T08:32:03.758Z		TAXON_ID_NOT_FOUND
5076245042	81981d98-e27f-4155-9a94-9eae9bbad2be	CSCF-VES-799868	Animalia	Arthropoda	Insecta	Hymenoptera	Vespidae	Vespa	Vespa velutina		SPECIES	Vespa velutina Lepeletier, 1836	Vespa velutina Lepeletier, 1836	Lepeletier, 1836	CH		Vd	PRESENT		64ee55c9-570a-42af-b7da-3f13c6b4e5a9	46.47242	6.23424	3535.0		841.0				2023-09-02	2	9	2023	1311477	1311477	HUMAN_OBSERVATION			CSCF-VES-799868		Cherix Daniel		CC_BY_4_0	https://www.infofauna.ch	Anonymous			2025-12-24T08:32:02.831Z		TAXON_ID_NOT_FOUND
5076245036	81981d98-e27f-4155-9a94-9eae9bbad2be	CSCF-VES-799870	Animalia	Arthropoda	Insecta	Hymenoptera	Vespidae	Vespa	Vespa velutina		SPECIES	Vespa velutina Lepeletier, 1836	Vespa velutina Lepeletier, 1836	Lepeletier, 1836	CH		Ge	PRESENT		64ee55c9-570a-42af-b7da-3f13c6b4e5a9	46.20113	6.11068	3535.0		387.0				2023-09-19	19	9	2023	1311477	1311477	HUMAN_OBSERVATION			CSCF-VES-799870		Cherix Daniel		CC_BY_4_0	https://www.infofauna.ch	Anonymous			2025-12-24T08:32:02.831Z		TAXON_ID_NOT_FOUND
5076245034	81981d98-e27f-4155-9a94-9eae9bbad2be	CSCF-VES-798541	Animalia	Arthropoda	Insecta	Hymenoptera	Vespidae	Vespa	Vespa velutina		SPECIES	Vespa velutina Lepeletier, 1836	Vespa velutina Lepeletier, 1836	Lepeletier, 1836	CH		Vd	PRESENT		64ee55c9-570a-42af-b7da-3f13c6b4e5a9	46.47309	6.29933	3535.0		393.0				2023-07-29	29	7	2023	1311477	1311477	HUMAN_OBSERVATION			CSCF-VES-798541		Cherix Daniel		CC_BY_4_0	https://www.infofauna.ch	Anonymous			2025-12-24T08:32:03.759Z		TAXON_ID_NOT_FOUND
5076245033	81981d98-e27f-4155-9a94-9eae9bbad2be	CSCF-VES-799872	Animalia	Arthropoda	Insecta	Hymenoptera	Vespidae	Vespa	Vespa velutina		SPECIES	Vespa velutina Lepeletier, 1836	Vespa velutina Lepeletier, 1836	Lepeletier, 1836	CH		Be	PRESENT		64ee55c9-570a-42af-b7da-3f13c6b4e5a9	47.1521	6.87824	3535.0		1046.0				2023-09-18	18	9	2023	1311477	1311477	HUMAN_OBSERVATION			CSCF-VES-799872		Cherix Daniel		CC_BY_4_0	https://www.infofauna.ch	Anonymous			2025-12-24T08:32:02.831Z		TAXON_ID_NOT_FOUND
5076245032	81981d98-e27f-4155-9a94-9eae9bbad2be	CSCF-VES-798540	Animalia	Arthropoda	Insecta	Hymenoptera	Vespidae	Vespa	Vespa velutina		SPECIES	Vespa velutina Lepeletier, 1836	Vespa velutina Lepeletier, 1836	Lepeletier, 1836	CH		Ne	PRESENT		64ee55c9-570a-42af-b7da-3f13c6b4e5a9	46.9722	6.88012	3535.0		458.0				2023-07-29	29	7	2023	1311477	1311477	HUMAN_OBSERVATION			CSCF-VES-798540		Cherix Daniel		CC_BY_4_0	https://www.infofauna.ch	Anonymous			2025-12-24T08:32:03.759Z		TAXON_ID_NOT_FOUND
5076245031	81981d98-e27f-4155-9a94-9eae9bbad2be	CSCF-VES-799871	Animalia	Arthropoda	Insecta	Hymenoptera	Vespidae	Vespa	Vespa velutina		SPECIES	Vespa velutina Lepeletier, 1836	Vespa velutina Lepeletier, 1836	Lepeletier, 1836	CH		Ge	PRESENT		64ee55c9-570a-42af-b7da-3f13c6b4e5a9	46.20188	6.17545	3535.0		414.0				2023-09-19	19	9	2023	1311477	1311477	HUMAN_OBSERVATION			CSCF-VES-799871		Cherix Daniel		CC_BY_4_0	https://www.infofauna.ch	Anonymous			2025-12-24T08:32:02.831Z		TAXON_ID_NOT_FOUND
5076245026	81981d98-e27f-4155-9a94-9eae9bbad2be	CSCF-VES-798528	Animalia	Arthropoda	Insecta	Hymenoptera	Vespidae	Vespa	Vespa velutina		SPECIES	Vespa velutina Lepeletier, 1836	Vespa velutina Lepeletier, 1836	Lepeletier, 1836	CH		Vd	PRESENT		64ee55c9-570a-42af-b7da-3f13c6b4e5a9	46.42812	6.30028	3535.0		425.0				2023-07-25	25	7	2023	1311477	1311477	HUMAN_OBSERVATION			CSCF-VES-798528		Cherix Daniel		CC_BY_4_0	https://www.infofauna.ch	Anonymous			2025-12-24T08:32:03.758Z		TAXON_ID_NOT_FOUND
5076245025	81981d98-e27f-4155-9a94-9eae9bbad2be	CSCF-VES-799859	Animalia	Arthropoda	Insecta	Hymenoptera	Vespidae	Vespa	Vespa velutina		SPECIES	Vespa velutina Lepeletier, 1836	Vespa velutina Lepeletier, 1836	Lepeletier, 1836	CH		Ge	PRESENT		64ee55c9-570a-42af-b7da-3f13c6b4e5a9	46.20113	6.11068	3535.0		392.0				2023-09-17	17	9	2023	1311477	1311477	HUMAN_OBSERVATION			CSCF-VES-799859		Cherix Daniel		CC_BY_4_0	https://www.infofauna.ch	Anonymous			2025-12-24T08:32:02.830Z		TAXON_ID_NOT_FOUND
5076245017	81981d98-e27f-4155-9a94-9eae9bbad2be	CSCF-VES-799852	Animalia	Arthropoda	Insecta	Hymenoptera	Vespidae	Vespa	Vespa velutina		SPECIES	Vespa velutina Lepeletier, 1836	Vespa velutina Lepeletier, 1836	Lepeletier, 1836	CH		Ge	PRESENT		64ee55c9-570a-42af-b7da-3f13c6b4e5a9	46.15616	6.11177	3535.0		447.0				2023-09-16	16	9	2023	1311477	1311477	HUMAN_OBSERVATION			CSCF-VES-799852		Cherix Daniel		CC_BY_4_0	https://www.infofauna.ch	Anonymous			2025-12-24T08:32:02.831Z		TAXON_ID_NOT_FOUND
